query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp
174	46950583439.996696	1502000544.316601	-1.000000	213793775.941459	46585423585.440002	0.020421	0.000000	0.002000	0.884000	0.032242	0.004589
175	67150248199.996162	1657768087.053208	-1.000000	134949620.484482	68698673381.400002	0.033821	0.000000	0.003000	0.972000	0.024131	0.001964
176	32329150693.332005	1160655811.669241	-1.000000	329672858.976761	32714112370.740002	0.016283	0.001000	0.002000	0.897000	0.035479	0.010077
177	36243491926.665054	1227681427.896434	-1.000000	116377865.494176	35935934968.860001	0.018255	0.001000	0.002000	0.874000	0.034163	0.003238
178	62094285359.995285	1721513423.034651	-1.000000	230729981.045898	62820723378.239998	0.027007	0.000000	0.002000	0.904000	0.027404	0.003673
179	52176514693.330574	1466985818.880613	-1.000000	164587300.610838	51077654359.160004	0.026280	0.001000	0.003000	0.917000	0.028721	0.003222
180	74515825506.662292	1742965726.437542	-1.000000	268168885.459169	76227473204.339996	0.037531	0.001000	0.002000	0.987000	0.022865	0.003518
181	82884797326.661697	1834209488.502521	-1.000000	245410578.454658	83668283046.880005	0.041746	0.001000	0.002000	1.014000	0.021922	0.002933
182	27565783333.332348	1073051135.582574	-1.000000	305464029.065721	26443205399.180000	0.013884	0.001000	0.002000	0.852000	0.040579	0.011552
183	75739746286.662216	1756658686.104927	-1.000000	193256850.438677	74478622725.479996	0.038148	0.001000	0.002000	0.995000	0.023586	0.002595
184	70325826439.995926	1695108955.835884	-1.000000	170140405.785190	70819496540.559998	0.035421	0.000000	0.004000	0.952000	0.023936	0.002402
185	24704762866.667141	1299763883.294417	-1.000000	203591007.116492	24330834288.759998	0.008963	0.000000	0.001000	0.791000	0.053420	0.008368
186	22347628506.666107	953775242.033677	-1.000000	224607590.854523	21917724193.520000	0.013579	0.000000	0.002000	0.832000	0.043516	0.010248
187	13165418120.000053	744292891.353499	-1.000000	232688789.816640	13835961312.740000	0.006631	0.000000	0.003000	0.850000	0.053794	0.016818
188	85950112433.328140	1866313426.055652	-1.000000	313742263.220251	85191204365.539993	0.043290	0.000000	0.003000	0.992000	0.021907	0.003683
189	81972466253.329590	2160180886.731530	-1.000000	182243951.039219	81985967473.399994	0.032488	0.000000	0.001000	0.877000	0.026348	0.002223
190	34743913313.331833	1202477695.172386	-1.000000	164586827.817374	34628622181.120003	0.017499	0.001000	0.002000	0.851000	0.034725	0.004753
191	19395285153.332939	901960741.229195	-1.000000	74864688.860949	19655373832.240002	0.009769	0.000000	0.003000	0.858000	0.045889	0.003809
192	75497167393.328888	1753954708.019423	-1.000000	220332020.025812	76079279553.139999	0.038025	0.000000	0.003000	0.950000	0.023054	0.002896
193	72034905006.662476	1714817149.193013	-1.000000	141710848.950289	71118265526.639999	0.036282	0.001000	0.002000	0.965000	0.024112	0.001993
194	20710863839.999149	1003376567.093543	-1.000000	164108604.507041	20143677297.599998	0.009008	0.000000	0.002000	0.837000	0.049811	0.008147
195	67861048506.661789	1756821985.259889	-1.000000	225682594.607711	67243532544.320000	0.030995	0.001000	0.002000	0.979000	0.026126	0.003356
196	92003558453.327713	1927838023.779167	-1.000000	146558103.426816	92366654951.399994	0.046339	0.001000	0.004000	0.990000	0.020872	0.001587
197	31188911839.999268	1408762317.544578	-1.000000	379212900.540198	31958669207.570000	0.010785	0.001000	0.001000	0.911000	0.044081	0.011866
198	17981811146.666523	1001060809.588066	-1.000000	220714523.704525	17759214140.000000	0.006903	0.000000	0.001000	0.894000	0.056369	0.012428
